TEST TYPE	UPDATE MILLISECS	NUM FIGHTER	NUM BLUE	NUM PURPLE	ALIVE
SCALAR	55	1040	16	1024	677
SCALAR	48	1040	16	1024	676
SCALAR	32	1040	16	1024	676
SCALAR	58	1040	16	1024	676
SCALAR	45	1040	16	1024	675
SCALAR	46	1040	16	1024	673
SCALAR	32	1040	16	1024	672
SCALAR	43	1040	16	1024	670
SCALAR	43	1040	16	1024	668
SCALAR	31	1040	16	1024	668
SCALAR	34	1040	16	1024	667
SCALAR	33	1040	16	1024	667
SCALAR	36	1040	16	1024	667
SCALAR	30	1040	16	1024	667
SCALAR	58	1040	16	1024	667
SCALAR	57	1040	16	1024	667
SCALAR	32	1040	16	1024	666
SCALAR	36	1040	16	1024	666
SCALAR	39	1040	16	1024	666
SCALAR	30	1040	16	1024	666
SCALAR	55	1040	16	1024	666
SCALAR	47	1040	16	1024	666
SCALAR	57	1040	16	1024	665
SCALAR	50	1040	16	1024	664
SCALAR	41	1040	16	1024	664
SCALAR	33	1040	16	1024	663
SCALAR	36	1040	16	1024	663
SCALAR	44	1040	16	1024	663
SCALAR	31	1040	16	1024	663
SCALAR	36	1040	16	1024	662
SCALAR	52	1040	16	1024	661
SCALAR	49	1040	16	1024	661
SCALAR	30	1040	16	1024	661
SCALAR	34	1040	16	1024	661
SCALAR	34	1040	16	1024	661
SCALAR	35	1040	16	1024	661
SCALAR	40	1040	16	1024	661
SCALAR	59	1040	16	1024	661
SCALAR	32	1040	16	1024	661
SCALAR	36	1040	16	1024	659
SCALAR	45	1040	16	1024	658
SCALAR	40	1040	16	1024	658
SCALAR	53	1040	16	1024	658
SCALAR	43	1040	16	1024	658
SCALAR	35	1040	16	1024	658
SCALAR	43	1040	16	1024	657
SCALAR	36	1040	16	1024	657
SCALAR	45	1040	16	1024	657
SCALAR	31	1040	16	1024	657
SCALAR	34	1040	16	1024	657
SCALAR	45	1040	16	1024	657
SCALAR	39	1040	16	1024	657
SCALAR	34	1040	16	1024	657
SCALAR	47	1040	16	1024	657
SCALAR	30	1040	16	1024	657
SCALAR	33	1040	16	1024	656
SCALAR	24	1040	16	1024	656
SCALAR	26	1040	16	1024	656
SCALAR	25	1040	16	1024	656
SCALAR	32	1040	16	1024	656
SCALAR	34	1040	16	1024	656
SCALAR	27	1040	16	1024	656
SCALAR	24	1040	16	1024	656
SCALAR	30	1040	16	1024	655
SCALAR	24	1040	16	1024	655
SCALAR	30	1040	16	1024	655
SCALAR	24	1040	16	1024	655
SCALAR	28	1040	16	1024	654
SCALAR	45	1040	16	1024	654
SCALAR	65	1040	16	1024	654
SCALAR	36	1040	16	1024	654
SCALAR	38	1040	16	1024	654
SCALAR	31	1040	16	1024	653
SCALAR	32	1040	16	1024	653
SCALAR	28	1040	16	1024	653
SCALAR	27	1040	16	1024	653
SCALAR	25	1040	16	1024	653
SCALAR	32	1040	16	1024	653
SCALAR	25	1040	16	1024	652
SCALAR	25	1040	16	1024	651
SCALAR	24	1040	16	1024	650
SCALAR	25	1040	16	1024	650
SCALAR	29	1040	16	1024	650
SCALAR	26	1040	16	1024	649
SCALAR	50	1040	16	1024	649
SCALAR	49	1040	16	1024	649
SCALAR	58	1040	16	1024	648
SCALAR	52	1040	16	1024	647
SCALAR	59	1040	16	1024	646
SCALAR	59	1040	16	1024	646
SCALAR	43	1040	16	1024	646
SCALAR	51	1040	16	1024	645
SCALAR	53	1040	16	1024	645
SCALAR	43	1040	16	1024	645
SCALAR	48	1040	16	1024	645
SCALAR	58	1040	16	1024	645
SCALAR	31	1040	16	1024	645
SCALAR	30	1040	16	1024	645
SCALAR	39	1040	16	1024	645
SCALAR	38	1040	16	1024	645
SCALAR	41	1040	16	1024	644
SCALAR	31	1040	16	1024	643
SCALAR	35	1040	16	1024	642
SCALAR	28	1040	16	1024	642
SCALAR	30	1040	16	1024	642
SCALAR	27	1040	16	1024	642
SCALAR	34	1040	16	1024	642
SCALAR	35	1040	16	1024	642
SCALAR	25	1040	16	1024	642
SCALAR	31	1040	16	1024	642
SCALAR	30	1040	16	1024	642
SCALAR	47	1040	16	1024	642
SCALAR	40	1040	16	1024	642
SCALAR	53	1040	16	1024	641
SCALAR	34	1040	16	1024	641
SCALAR	27	1040	16	1024	640
SCALAR	33	1040	16	1024	640
SCALAR	29	1040	16	1024	640
SCALAR	29	1040	16	1024	640
SCALAR	30	1040	16	1024	640
SCALAR	27	1040	16	1024	639
SCALAR	28	1040	16	1024	639
SCALAR	34	1040	16	1024	639
SCALAR	49	1040	16	1024	638
SCALAR	43	1040	16	1024	637
SCALAR	30	1040	16	1024	637
SCALAR	53	1040	16	1024	637
SCALAR	28	1040	16	1024	637
SCALAR	28	1040	16	1024	637
SCALAR	27	1040	16	1024	636
SCALAR	27	1040	16	1024	636
SCALAR	28	1040	16	1024	636
SCALAR	27	1040	16	1024	636
SCALAR	24	1040	16	1024	635
SCALAR	26	1040	16	1024	635
SCALAR	28	1040	16	1024	635
SCALAR	27	1040	16	1024	634
SCALAR	26	1040	16	1024	634
SCALAR	29	1040	16	1024	634
SCALAR	32	1040	16	1024	634
SCALAR	31	1040	16	1024	634
SCALAR	28	1040	16	1024	634
SCALAR	32	1040	16	1024	634
SCALAR	52	1040	16	1024	633
SCALAR	52	1040	16	1024	633
